Article,Object_singular,Translation_singular,Object_plural,Translation_plural,Category
das,Fleisch,meat,Fleischsorten,types of meat,food & drink
das,Gemüse,vegetable(s),Gemüse,vegetables,food & drink
der,Kaffee,coffee,Kaffee,coffees,food & drink
die,Karotte,carrot,Karotten,carrots,food & drink
der,Käse,cheese,Käse,cheeses,food & drink
die,Kirsche,cherry,Kirschen,cherries,food & drink
die,Knoblauchzehe,garlic clove,Knoblauchzehen,garlic cloves,food & drink
das,Lebensmittel,food item,Lebensmittel,"food items, groceries",food & drink
die,Limonade,"soda, lemonade",Limonaden,"sodas, lemonades",food & drink
die,Milch,milk,Milche,types of milk,food & drink
die,Nudel,"noodle, piece of pasta",Nudeln,"noodles, pasta",food & drink
das,Obst,fruit,Obst,fruits (as a mass),food & drink
die,Orange,orange,Orangen,oranges,food & drink
die,Pizza,pizza,Pizzen,pizzas,food & drink
der,Reis,rice,Reissorten,types of rice,food & drink
der,Saft,juice,Säfte,juices,food & drink
der,Salat,"salad, lettuce",Salate,salads,food & drink
die,Salatgurke,cucumber,Salatgurken,cucumbers,food & drink
die,Sauce,sauce,Saucen,sauces,food & drink
die,Soße,sauce,Soßen,sauces,food & drink
die,Suppe,soup,Suppen,soups,food & drink
der,Tee,tea,Tees,teas,food & drink
die,Tomate,tomato,Tomaten,tomatoes,food & drink
die,Torte,"layer cake, tart",Torten,"layer cakes, tarts",food & drink
die,Traube,grape,Trauben,grapes,food & drink
das,Wasser,water,Wasser,"waters, types of water",food & drink
der,Wein,wine,Weine,wines,food & drink
die,Wurst,"sausage, cold cut",Würste,sausages,food & drink
die,Zitrone,lemon,Zitronen,lemons,food & drink
der,Zuckerwürfel,sugar cube,Zuckerwürfel,sugar cubes,food & drink
die,Zwiebel,onion,Zwiebeln,onions,food & drink
die,Backform,baking tin,Backformen,baking tins,food & drink
das,Blech,"baking tray, sheet",Bleche,"baking trays, sheets",food & drink
der,Kochlöffel,"wooden spoon, cooking spoon",Kochlöffel,"wooden spoons, cooking spoons",food & drink
die,Mahlzeit,meal,Mahlzeiten,meals,food & drink
das,Rezept,recipe,Rezepte,recipes,food & drink
die,Zutat,ingredient,Zutaten,ingredients,food & drink
der,Geruch,"smell, odor",Gerüche,"smells, odors",food & drink
der,Geschmack,"taste, flavor",Geschmäcker,"tastes, flavors",food & drink
die,Ausstellung,exhibition,Ausstellungen,exhibitions,free time
der,Ball,ball,Bälle,balls,free time
der,Film,"film, movie",Filme,"films, movies",free time
die,Freizeit,free time,Freizeitaktivitäten,free-time activities,free time
das,Hobby,hobby,Hobbys,hobbies,free time
das,Kino,cinema,Kinos,cinemas,free time
das,Konzert,concert,Konzerte,concerts,free time
der,Lauf,"run, race",Läufe,"runs, races",free time
das,Museum,museum,Museen,museums,free time
die,Puppe,doll,Puppen,dolls,free time
das,Schwimmen,swimming,Schwimmen,swimming competitions,free time
das,Spiel,game,Spiele,games,free time
das,Spielzeug,toy,Spielzeuge,toys,free time
der,Sport,sport,Sportarten,"sports, kinds of sport",free time
das,Theater,theater,Theater,theaters,free time
das,Training,training,Trainings,trainings,free time
der,Verein,"club, association",Vereine,"clubs, associations",free time
die,Entspannung,relaxation,Entspannungen,relaxation periods,free time
die,Erholung,"rest, recreation",Erholungen,periods of rest,free time
der,Spaziergang,"walk, stroll",Spaziergänge,"walks, strolls",free time
die,Übung,"exercise, practice",Übungen,"exercises, practices",free time
die,Mannschaft,"team, squad",Mannschaften,"teams, squads",free time
die,Niederlage,defeat,Niederlagen,defeats,free time
der,Sieg,victory,Siege,victories,free time
der,Sprung,jump,Sprünge,jumps,free time
das,Tor,"goal, gate",Tore,"goals, gates",free time
der,Wurf,throw,Würfe,throws,free time
der,Würfel,die,Würfel,dice,free time
der,Bach,stream,Bäche,streams,geography
der,Baum,tree,Bäume,trees,geography
der,Berg,mountain,Berge,mountains,geography
das,Dorf,village,Dörfer,villages,geography
das,Feld,field,Felder,fields,geography
der,Fluss,river,Flüsse,rivers,geography
das,Gebiet,"area, region",Gebiete,"areas, regions",geography
das,Gebirge,mountain range,Gebirge,mountain ranges,geography
die,Gegend,"area, region",Gegenden,"areas, regions",geography
der,Gletscher,glacier,Gletscher,glaciers,geography
der,Himmel,"sky, heaven",Himmel,"skies, heavens",geography
der,Hügel,hill,Hügel,hills,geography
die,Insel,island,Inseln,islands,geography
der,Kontinent,continent,Kontinente,continents,geography
die,Küste,"coast, shoreline",Küsten,"coasts, shorelines",geography
das,Land,"country, land",Länder,"countries, lands",geography
die,Landschaft,landscape,Landschaften,landscapes,geography
das,Meer,sea,Meere,seas,geography
der,Ozean,ocean,Ozeane,oceans,geography
die,Region,region,Regionen,regions,geography
der,See,lake,Seen,lakes,geography
die,Stadt,"city, town",Städte,"cities, towns",geography
der,Strand,beach,Strände,beaches,geography
das,Tal,valley,Täler,valleys,geography
die,Umgebung,"surroundings, environment",Umgebungen,surrounding areas,geography
der,Vulkan,volcano,Vulkane,volcanoes,geography
der,Wald,forest,Wälder,forests,geography
die,Welt,world,Welten,worlds,geography
die,Wiese,"meadow, field",Wiesen,"meadows, fields",geography
die,Wüste,desert,Wüsten,deserts,geography
die,Apotheke,pharmacy,Apotheken,pharmacies,health
die,Arznei,"medicine, drug",Arzneien,"medicines, drugs",health
der,Arzt,doctor (male),Ärzte,doctors (male or mixed),health
die,Ärztin,doctor (female),Ärztinnen,doctors (female),health
die,Arztpraxis,doctor’s office,Arztpraxen,doctors’ offices,health
die,Erkältung,cold (illness),Erkältungen,colds,health
das,Fieber,fever,Fieber,fevers,health
die,Gesundheit,health,Gesundheiten,states of health,health
der,Husten,cough,Husten,coughs,health
das,Krankenhaus,hospital,Krankenhäuser,hospitals,health
die,Krankheit,"illness, disease",Krankheiten,"illnesses, diseases",health
das,Medikament,medication,Medikamente,medications,health
die,Notaufnahme,emergency room,Notaufnahmen,emergency rooms,health
die,Operation,"surgery, operation",Operationen,operations,health
der,Schmerz,pain,Schmerzen,"pains, aches",health
der,Schnupfen,"head cold, sniffles",Schnupfen,head colds,health
die,Tablette,"tablet, pill",Tabletten,"tablets, pills",health
die,Versicherung,insurance,Versicherungen,insurances,health
der,Kinderstuhl,high chair,children,die Kinderstühle,home
der,Balkon,balcony,Balkone,balconies,home
der,Besen,broom,Besen,brooms,home
der,Boden,"floor, ground",Böden,"floors, grounds",home
das,Bügelbrett,ironing board,Bügelbretter,ironing boards,home
die,Decke,blanket (also ceiling),Decken,"blankets, ceilings",home
die,Deko,decor (informal),Dekos,decorative items,home
das,Eisen,iron (appliance),Eisen,irons,home
das,Fenster,window,Fenster,windows,home
der,Garten,garden,Gärten,gardens,home
das,Handtuch,towel,Handtücher,towels,home
das,Haus,house,Häuser,houses,home
das,Kissen,"cushion, pillow",Kissen,"cushions, pillows",home
die,Lampe,lamp,Lampen,lamps,home
der,Lappen,"cloth, rag",Lappen,"cloths, rags",home
die,Leuchte,light fixture,Leuchten,light fixtures,home
die,Matratze,mattress,Matratzen,mattresses,home
die,Pflanze,"plant (potted, house plant)",Pflanzen,plants,home
das,Poster,poster,Poster,posters,home
der,Rahmen,frame,Rahmen,frames,home
das,Regal,"shelf, shelving unit",Regale,"shelves, shelving units",home
das,Schlafzimmer,bedroom,Schlafzimmer,bedrooms,home
der,Schrank,"cupboard, wardrobe",Schränke,"cupboards, wardrobes",home
die,Seife,soap,Seifen,soaps,home
das,Sofa,sofa,Sofas,sofas,home
der,Spiegel,mirror,Spiegel,mirrors,home
der,Staubsauger,vacuum cleaner,Staubsauger,vacuum cleaners,home
der,Stuhl,chair,Stühle,chairs,home
der,Teppich,"carpet, rug",Teppiche,"carpets, rugs",home
der,Tisch,table,Tische,tables,home
die,Toilette,"toilet, restroom",Toiletten,"toilets, restrooms",home
der,Trockner,dryer,Trockner,dryers,home
die,Tür,door,Türen,doors,home
die,Vase,vase,Vasen,vases,home
der,Vorhang,curtain,Vorhänge,curtains,home
die,Wand,wall (inside),Wände,walls (inside),home
die,Waschmaschine,washing machine,Waschmaschinen,washing machines,home
die,Wohnung,apartment,Wohnungen,apartments,home
das,Wohnzimmer,living room,Wohnzimmer,living rooms,home
das,Zimmer,room,Zimmer,rooms,home
der,Heizkörper,radiator,Heizkörper,radiators,home
die,Heizung,"heating, heater",Heizungen,heaters,home
die,Klimaanlage,air conditioning unit,Klimaanlagen,air conditioning units,home
der,Lüfter,"fan, ventilator",Lüfter,"fans, ventilators",home
das,Thermostat,thermostat,Thermostate,thermostats,home
die,Ecke,corner,Ecken,corners,home
der,Briefkasten,mailbox,Briefkästen,mailboxes,home
die,Gegensprechanlage,intercom,Gegensprechanlagen,intercoms,home
die,Klingel,doorbell,Klingeln,doorbells,home
die,Glühbirne,light bulb,Glühbirnen,light bulbs,home
der,Abfalleimer,"trash can, bin",Abfalleimer,"trash cans, bins",home
der,Abfluss,drain,Abflüsse,drains,home
der,Abflussreiniger,drain cleaner,Abflussreiniger,drain cleaners,home
die,Ablage,"tray, storage place",Ablagen,"trays, storage places",home
die,Anrichte,"sideboard, dresser",Anrichten,"sideboards, dressers",home
die,Arbeitsplatte,countertop,Arbeitsplatten,countertops,home
der,Aschenbecher,ashtray,Aschenbecher,ashtrays,home
das,Babybett,"baby bed, crib",Babybetten,"baby beds, cribs",home
das,Bad,bathroom; bath,Bäder,bathrooms; baths,home
die,Badewanne,bathtub,Badewannen,bathtubs,home
das,Badezimmer,bathroom,Badezimmer,bathrooms,home
die,Badezimmermatte,bath mat,Badezimmermatten,bath mats,home
der,Barhocker,bar stool,Barhocker,bar stools,home
der,Beistelltisch,side table,Beistelltische,side tables,home
das,Bett,bed,Betten,beds,home
die,Bettdecke,"duvet, bedcover",Bettdecken,"duvets, bedcovers",home
das,Bettlaken,bed sheet,Bettlaken,bed sheets,home
die,Bettwäsche,bed linen,Bettwäschen,sets of bed linen,home
der,Bilderrahmen,picture frame,Bilderrahmen,picture frames,home
der,Blumentopf,flower pot,Blumentöpfe,flower pots,home
die,Box,box,Boxen,boxes,home
das,Bücherregal,bookcase,Bücherregale,bookcases,home
das,Bügeleisen,iron,Bügeleisen,irons,home
die,Couch,couch,Couches,Couches,home
der,Couchtisch,coffee table,Couchtische,coffee tables,home
der,Dampfkochtopf,pressure cooker,Dampfkochtöpfe,pressure cookers,home
die,Deckenlampe,ceiling lamp,Deckenlampen,ceiling lamps,home
das,Doppelbett,double bed,Doppelbetten,double beds,home
die,Dusche,shower,Duschen,showers,home
das,Duschgel,shower gel,Duschgele,shower gels,home
der,Eimer,bucket,Eimer,buckets,home
die,Einkaufstasche,shopping bag,Einkaufstaschen,shopping bags,home
das,Einzelbett,single bed,Einzelbetten,single beds,home
der,Essteller,dinner plate,Essteller,dinner plates,home
der,Esstisch,dining table,Esstische,dining tables,home
die,Farbrolle,paint roller,Farbrollen,paint rollers,home
die,Fernbedienung,remote control,Fernbedienungen,remote controls,home
der,Fernseher,TV,Fernseher,TVs,home
die,Flasche,bottle,Flaschen,bottles,home
der,Fleckentferner,stain remover,Fleckentferner,stain removers,home
der,Flur,hallway,Flure,hallways,home
das,Fotoalbum,photo album,Fotoalben,photo albums,home
die,Fußmatte,doormat,Fußmatten,doormats,home
die,Garderobe,"coat rack, wardrobe area",Garderoben,"coat racks, wardrobe areas",home
die,Gardine,net curtain,Gardinen,net curtains,home
die,Gartenmöbel,garden furniture,Gartenmöbel,garden furniture (pl.),home
der,Gartenstuhl,garden chair,Gartenstühle,garden chairs,home
der,Gartentisch,garden table,Gartentische,garden tables,home
das,Gästebett,guest bed,Gästebetten,guest beds,home
das,Geschirrtuch,dish towel,Geschirrtücher,dish towels,home
der,Griff,"handle, grip",Griffe,"handles, grips",home
der,Grill,BBQ grill,Grills,grills,home
der,Handfeger,hand brush,Handfeger,hand brushes,home
der,Haushaltshandschuh,rubber glove,Haushaltshandschuhe,rubber gloves,home
der,Hocker,stool,Hocker,stools,home
die,Jalousie,blind,Jalousien,blinds,home
die,Kehrschaufel,dustpan,Kehrschaufeln,dustpans,home
die,Kerze,candle,Kerzen,candles,home
der,Kerzenständer,candle holder,Kerzenständer,candle holders,home
das,Kinderbett,child’s bed,Kinderbetten,children’s beds,home
die,Kiste,"crate, box",Kisten,"crates, boxes",home
das,Klebeband,tape,Klebebänder,tapes,home
der,Kleiderständer,clothes stand,Kleiderständer,clothes stands,home
die,Kommode,chest of drawers,Kommoden,chests of drawers,home
der,Kopfkissenbezug,pillowcase,Kopfkissenbezüge,pillowcases,home
das,Laken,sheet,Laken,sheets,home
der,Lattenrost,slat frame,Lattenroste,slat frames,home
der,Läufer,runner (rug),Läufer,runners (rugs),home
der,Lautsprecher,loudspeaker,Lautsprecher,loudspeakers,home
die,LED-Lampe,LED lamp,LED-Lampen,LED lamps,home
die,Liege,"deck chair, lounger",Liegen,"deck chairs, loungers",home
das,Lowboard,low sideboard (TV unit),Lowboards,low sideboards,home
die,Mehrfachsteckdose,power strip,Mehrfachsteckdosen,power strips,home
die,Mikrowelle,microwave oven,Mikrowellen,microwave ovens,home
der,Mopp,mop,Mopps,mops,home
der,Mülleimer,"trash can, bin",Mülleimer,"trash cans, bins",home
das,Nachtkästchen,bedside table,Nachtkästchen,bedside tables,home
der,Nachttisch,bedside table,Nachttische,bedside tables,home
das,Paketband,packing tape,Paketbänder,packing tapes,home
der,Papierkorb,wastepaper basket,Papierkörbe,wastepaper baskets,home
der,Pinsel,paintbrush,Pinsel,paintbrushes,home
die,Plastiktüte,plastic bag,Plastiktüten,plastic bags,home
das,Putzmittel,cleaning product; detergent,Putzmittel,cleaning products; detergents,home
das,Reinigungsmittel,cleaning agent; detergent,Reinigungsmittel,cleaning agents; detergents,home
der,Rolladen,roller shutter,Rolläden,roller shutters,home
das,Rollo,roller blind,Rollos,roller blinds,home
die,Schachtel,small box,Schachteln,small boxes,home
die,Schnur,"string, cord",Schnüre,"strings, cords",home
der,Schreibtisch,desk,Schreibtische,desks,home
die,Schublade,drawer,Schubladen,drawers,home
die,Schuhablage,shoe rack,Schuhablagen,shoe racks,home
das,Schuhregal,shoe shelf,Schuhregale,shoe shelves,home
der,Sessel,armchair,Sessel,armchairs,home
das,Shampoo,shampoo,Shampoos,shampoos,home
das,Sideboard,sideboard,Sideboards,sideboards,home
die,Sitzgruppe,seating group,Sitzgruppen,seating groups,home
der,Sonnenschirm,"parasol, sunshade",Sonnenschirme,parasol umbrellas,home
die,Spielzeugkiste,toy box,Spielzeugkisten,toy boxes,home
die,Spüle,kitchen sink,Spülen,kitchen sinks,home
das,Spülmittel,dishwashing liquid,Spülmittel,dishwashing liquids,home
der,Spülschwamm,dish sponge,Spülschwämme,dish sponges,home
die,Spülung,conditioner,Spülungen,conditioners,home
das,Staubtuch,"duster, dust cloth",Staubtücher,"dusters, dust cloths",home
die,Stehlampe,"standard lamp, floor lamp",Stehlampen,floor lamps,home
die,Stereoanlage,stereo system,Stereoanlagen,stereo systems,home
das,Stockbett,bunk bed,Stockbetten,bunk beds,home
der,Suppenteller,soup plate,Suppenteller,soup plates,home
die,Terrasse,"terrace, patio",Terrassen,"terraces, patios",home
die,Tischlampe,table lamp,Tischlampen,table lamps,home
das,Tischset,place mat,Tischsets,place mats,home
die,Toilettenbürste,toilet brush,Toilettenbürsten,toilet brushes,home
der,Toilettendeckel,toilet lid,Toilettendeckel,toilet lids,home
das,Toilettenpapier,toilet paper,Toilettenpapiere,toilet papers,home
die,Tüte,bag (paper or plastic),Tüten,bags,home
die,Verlängerungsschnur,extension cord,Verlängerungsschnüre,extension cords,home
die,Wandfarbe,wall paint,Wandfarben,wall paints,home
das,Wandregal,wall shelf,Wandregale,wall shelves,home
die,Wanduhr,wall clock,Wanduhren,wall clocks,home
das,Waschbecken,washbasin,Waschbecken,washbasins,home
die,Wäscheklammer,clothes peg,Wäscheklammern,clothes pegs,home
der,Wäschekorb,laundry basket,Wäschekörbe,laundry baskets,home
das,Wäschekörbchen,small laundry basket,Wäschekörbchen,small laundry baskets,home
die,Wäscheleine,clothesline,Wäscheleinen,clotheslines,home
das,Waschmittel,laundry detergent,Waschmittel,laundry detergents,home
der,Wecker,alarm clock,Wecker,alarm clocks,home
der,Weichspüler,fabric softener,Weichspüler,fabric softeners,home
die,Wiege,cradle,Wiegen,cradles,home
der,Wischmopp,mop,Wischmopps,mops,home
die,Zahnbürste,toothbrush,Zahnbürsten,toothbrushes,home
die,Zahnpasta,toothpaste,Zahnpasten,toothpastes,home
das,Zahnputzglas,toothbrush glass,Zahnputzgläser,toothbrush glasses,home
die,Zimmerdeko,room decoration,Zimmerdekos,room decorations,home
die,Zimmerpflanze,houseplant,Zimmerpflanzen,houseplants,home
der,Elektriker,electrician (male),Elektriker,electricians,jobs
die,Elektrikerin,electrician (female),Elektrikerinnen,electricians (female),jobs
der,Handwerker,tradesperson (male),Handwerker,tradespeople,jobs
die,Handwerkerin,tradesperson (female),Handwerkerinnen,tradespeople (female),jobs
der,Klempner,plumber (male),Klempner,plumbers,jobs
die,Klempnerin,plumber (female),Klempnerinnen,plumbers (female),jobs
der,Kellner,waiter,Kellner,waiters,jobs
die,Kellnerin,waitress,Kellnerinnen,waitresses,jobs
der,Polizist,police officer (male),Polizisten,police officers (male or mixed),jobs
die,Polizistin,police officer (female),Polizistinnen,police officers (female),jobs
der,Anwalt,lawyer (male),Anwälte,lawyers,jobs
die,Anwältin,lawyer (female),Anwältinnen,lawyers (female),jobs
der,Richter,judge (male),Richter,judges,jobs
die,Richterin,judge (female),Richterinnen,judges (female),jobs
der,Architekt,architect (male),Architekten,architects,jobs
die,Architektin,architect (female),Architektinnen,architects (female),jobs
der,Autor,author (male),Autoren,authors,jobs
die,Autorin,author (female),Autorinnen,authors (female),jobs
der,Bäcker,baker (male),Bäcker,bakers,jobs
die,Bäckerin,baker (female),Bäckerinnen,bakers (female),jobs
der,Friseur,hairdresser (male),Friseure,hairdressers,jobs
die,Friseurin,hairdresser (female),Friseurinnen,hairdressers (female),jobs
der,Ingenieur,engineer (male),Ingenieure,engineers,jobs
die,Ingenieurin,engineer (female),Ingenieurinnen,engineers (female),jobs
der,Journalist,journalist (male),Journalisten,journalists,jobs
die,Journalistin,journalist (female),Journalistinnen,journalists (female),jobs
der,Koch,"cook, chef (male)",Köche,"cooks, chefs",jobs
die,Köchin,"cook, chef (female)",Köchinnen,"cooks, chefs (female)",jobs
der,Mechaniker,mechanic (male),Mechaniker,mechanics,jobs
die,Mechanikerin,mechanic (female),Mechanikerinnen,mechanics (female),jobs
der,Müller,"miller (surname, profession)",Müller,millers,jobs
der,Schneider,tailor,Schneider,tailors,jobs
der,Sportler,athlete (male),Sportler,athletes (male or mixed),jobs
die,Sportlerin,athlete (female),Sportlerinnen,athletes (female),jobs
die,Küche,kitchen,Küchen,kitchens,kitchen
der,Backpinsel,pastry brush,Backpinsel,pastry brushes,kitchen
der,Bräter,roasting pan,Bräter,roasting pans,kitchen
das,Brotmesser,bread knife,Brotmesser,bread knives,kitchen
die,Dose,"can, tin",Dosen,"cans, tins",kitchen
der,Dosenöffner,can opener,Dosenöffner,can openers,kitchen
die,Dunstabzugshaube,extractor hood,Dunstabzugshauben,extractor hoods,kitchen
der,Esslöffel,tablespoon,Esslöffel,tablespoons,kitchen
das,Gefrierfach,freezer compartment,Gefrierfächer,freezer compartments,kitchen
die,Gefriertruhe,chest freezer,Gefriertruhen,chest freezers,kitchen
die,Karaffe,carafe,Karaffen,carafes,kitchen
die,Käsereibe,cheese grater,Käsereiben,cheese graters,kitchen
die,Knoblauchpresse,garlic press,Knoblauchpressen,garlic presses,kitchen
das,Kochfeld,cooking surface,Kochfelder,cooking surfaces,kitchen
das,Kochmesser,chef’s knife,Kochmesser,chef’s knives,kitchen
der,Krug,"jug, pitcher",Krüge,"jugs, pitchers",kitchen
das,Küchenpapier,kitchen roll,Küchenpapiere,kitchen rolls,kitchen
die,Küchenschere,kitchen scissors,Küchenscheren,kitchen scissors,kitchen
das,Küchensieb,kitchen sieve,Küchensiebe,kitchen sieves,kitchen
der,Kühlschrank,refrigerator,Kühlschränke,refrigerators,kitchen
der,Pfannenwender,spatula,Pfannenwender,spatulas,kitchen
die,Schale,"bowl, small dish",Schalen,"bowls, small dishes",kitchen
der,Schäler,peeler,Schäler,peelers,kitchen
der,Schneebesen,whisk,Schneebesen,whisks,kitchen
das,Schneidebrett,cutting board,Schneidebretter,cutting boards,kitchen
der,Schöpflöffel,ladle,Schöpflöffel,ladles,kitchen
der,Schwamm,sponge,Schwämme,sponges,kitchen
das,Sieb,"sieve, strainer",Siebe,"sieves, strainers",kitchen
der,Teelöffel,teaspoon,Teelöffel,teaspoons,kitchen
der,Untersetzer,"coaster, mat",Untersetzer,"coasters, mats",kitchen
die,Untertasse,saucer,Untertassen,saucers,kitchen
das,Besteck,cutlery,of,die Bestecke,kitchen
der,Backofen,oven,Backöfen,ovens,kitchen
das,Brett,"board, cutting board",Bretter,"boards, cutting boards",kitchen
der,Flaschenöffner,bottle opener,Flaschenöffner,bottle openers,kitchen
die,Gabel,fork,Gabeln,forks,kitchen
das,Gewürz,"spice, seasoning",Gewürze,"spices, seasonings",kitchen
das,Glas,glass (drinking),Gläser,glasses (drinking),kitchen
der,Herd,"stove, cooker",Herde,"stoves, cookers",kitchen
der,Korkenzieher,corkscrew,Korkenzieher,corkscrews,kitchen
der,Löffel,spoon,Löffel,spoons,kitchen
das,Messer,knife,Messer,knives,kitchen
der,Mixer,"blender, mixer",Mixer,"blenders, mixers",kitchen
der,Ofen,"oven, stove",Öfen,"ovens, stoves",kitchen
das,Öl,oil,Öle,oils,kitchen
die,Pfanne,pan,Pfannen,pans,kitchen
das,Salz,salt,Salze,salts,kitchen
die,Schüssel,bowl,Schüsseln,bowls,kitchen
die,Serviette,napkin,Servietten,napkins,kitchen
die,Spülmaschine,dishwasher,Spülmaschinen,dishwashers,kitchen
die,Tasse,"cup, mug",Tassen,"cups, mugs",kitchen
der,Teller,plate,Teller,plates,kitchen
die,Thermoskanne,thermos flask,Thermoskannen,thermos flasks,kitchen
das,Tischtuch,tablecloth,Tischtücher,tablecloths,kitchen
der,Topf,pot,Töpfe,pots,kitchen
der,Wasserkocher,electric kettle,Wasserkocher,electric kettles,kitchen
der,Zucker,sugar,Zucker,sugars,kitchen
der,Ausdruck,expression,Ausdrücke,expressions,language
die,Aussprache,pronunciation,Aussprachen,pronunciations,language
die,Bedeutung,meaning,Bedeutungen,meanings,language
der,Buchstabe,letter (alphabet),Buchstaben,letters,language
die,Grammatik,grammar,Grammatiken,grammars,language
der,Satz,sentence,Sätze,sentences,language
die,Silbe,syllable,Silben,syllables,language
die,Sprache,language,Sprachen,languages,language
die,Übersetzung,translation,Übersetzungen,translations,language
das,Wort,word,Wörter,words (distinct items),language
das,Wörterbuch,dictionary,Wörterbücher,dictionaries,language
die,Wörterliste,word list,Wörterlisten,word lists,language
das,Diagramm,"diagram, chart",Diagramme,"diagrams, charts",math & science
die,Grafik,"graph, graphic",Grafiken,"graphs, graphics",math & science
die,Tabelle,table (data),Tabellen,tables (data),math & science
die,Analyse,analysis,Analysen,analyses,math & science
die,Formel,formula,Formeln,formulas,math & science
die,Gleichung,equation,Gleichungen,equations,math & science
die,Statistik,statistics,Statistiken,statistics,math & science
die,Nummer,number (identifier),Nummern,numbers (identifiers),math & science
die,Zahl,number,Zahlen,numbers,math & science
die,Breite,width,Breiten,widths,math & science
das,Gewicht,weight,Gewichte,weights,math & science
die,Höhe,height,Höhen,heights,math & science
die,Länge,length,Längen,lengths,math & science
die,Bewegung,movement,Bewegungen,movements,math & science
die,Geschwindigkeit,speed,Geschwindigkeiten,speeds,math & science
die,Kraft,"force, strength",Kräfte,"forces, strengths",math & science
die,Richtung,direction,Richtungen,directions,math & science
die,Stärke,"strength, intensity",Stärken,"strengths, intensities",math & science
der,Druck,pressure,Drücke,pressures,math & science
die,Energie,energy,Energien,energies,math & science
die,Masse,mass,Massen,masses,math & science
das,Experiment,experiment,Experimente,experiments,math & science
der,Forscher,researcher (male),Forscher,researchers,math & science
die,Forscherin,researcher (female),Forscherinnen,researchers (female),math & science
das,Labor,laboratory,Labore,Laboratories,math & science
die,Messung,measurement,Messungen,measurements,math & science
die,Theorie,theory,Theorien,theories,math & science
die,Wissenschaft,science,Wissenschaften,sciences,math & science
die,Fläche,"area, surface",Flächen,"areas, surfaces",math & science
der,Rand,"edge, margin",Ränder,"edges, margins",math & science
das,Volumen,volume,Volumen,volumes,math & science
die,Folge,episode,Folgen,episodes,media
das,Magazin,magazine,Magazine,magazines,media
die,Meldung,"report, notification",Meldungen,"reports, notifications",media
die,Sendung,"program, broadcast",Sendungen,"programs, broadcasts",media
die,Serie,series (TV),Serien,series,media
die,Show,show,Shows,shows,media
die,Zeitschrift,magazine,Zeitschriften,magazines,media
die,Zeitung,newspaper,Zeitungen,newspapers,media
der,Mond,moon,Monde,moons,nature
der,Planet,planet,Planeten,planets,nature
der,Stern,star,Sterne,stars,nature
der,Ast,branch,Äste,branches,nature
die,Atmosphäre,atmosphere,Atmosphären,atmospheres,nature
das,Blatt,"leaf, sheet",Blätter,"leaves, sheets",nature
die,Blume,flower,Blumen,flowers,nature
die,Blüte,blossom,Blüten,blossoms,nature
die,Erde,Earth; soil,Erden,"earths, soils",nature
das,Feuer,fire,Feuer,fires,nature
das,Haustier,pet,Haustiere,pets,nature
der,Haustierhalter,pet owner (male),Haustierhalter,pet owners,nature
die,Haustierhalterin,pet owner (female),Haustierhalterinnen,pet owners (female),nature
das,Holz,wood,Hölzer,"woods, types of wood",nature
der,Horizont,horizon,Horizonte,horizons,nature
die,Luft,air,Lüfte,"airs, skies",nature
der,Müll,"garbage, trash",Müllarten,types of garbage,nature
die,Mülltonne,"trash can, bin",Mülltonnen,"trash cans, bins",nature
die,Natur,nature,Naturen,natures,nature
die,Naturgewalt,force of nature,Naturgewalten,forces of nature,nature
der,Park,park,Parks,Parks,nature
der,Rasen,lawn,Rasen,lawns,nature
die,Recyclinganlage,recycling plant,Recyclinganlagen,recycling plants,nature
der,Stein,stone,Steine,stones,nature
die,Umwelt,environment,Umwelten,environments (abstract),nature
der,Umweltschutz,environmental protection,Umweltschutze,measures of environmental protection,nature
das,Wildtier,wild animal,Wildtiere,wild animals,nature
die,Wurzel,root,Wurzeln,roots,nature
der,Zweig,"twig, branch",Zweige,"twigs, branches",nature
der,Bürger,citizen (male),Bürger,citizens,politics
die,Bürgerin,citizen (female),Bürgerinnen,citizens (female),politics
die,Freiheit,freedom,Freiheiten,freedoms,politics
der,Frieden,peace,Frieden,peaces,politics
die,Gerechtigkeit,justice,Gerechtigkeiten,justices (rare),politics
das,Gesetz,"law, act",Gesetze,"laws, acts",politics
der,Konflikt,conflict,Konflikte,conflicts,politics
der,Krieg,war,Kriege,wars,politics
die,Partei,party (political),Parteien,parties,politics
die,Politik,"politics, policy",Politiken,policies,politics
der,Präsident,president (male),Präsidenten,presidents,politics
die,Präsidentin,president (female),Präsidentinnen,presidents (female),politics
das,Recht,"right, law",Rechte,"rights, laws",politics
die,Regelung,regulation,Regelungen,regulations,politics
die,Regierung,government,Regierungen,governments,politics
der,Staat,state,Staaten,states,politics
die,Wahl,"election, choice",Wahlen,"elections, choices",politics
der,Albtraum,nightmare,Albträume,nightmares,psychology
die,Anspannung,"tension, stress",Anspannungen,tensions,psychology
die,Belastung,"strain, burden",Belastungen,"strains, burdens",psychology
die,Beratung,"counseling, advice",Beratungen,counseling sessions,psychology
das,Bewusstsein,"consciousness, awareness",Bewusstseine,states of consciousness,psychology
der,Charakter,character,Charaktere,characters,psychology
die,Depression,depression,Depressionen,depressions,psychology
die,Eigenschaft,"quality, characteristic",Eigenschaften,"qualities, characteristics",psychology
die,Erinnerung,"memory, recollection",Erinnerungen,memories,psychology
