verb,translation,present_irregular,separable,reflexive,sxz_ending,nm_ending_regular,nm_ending_irregular,dt_ending,no_en_ending,a_stemchanging,i_stemchanging,ie_stemchanging,stem_changing_t,irregular_other,present_singular_1st_person,present_singular_2nd_person,present_singular_3rd_person,present_plural_1st_person,present_plural_2nd_person,present_plural_3rd_person,present_formal
sich beleben,to become lively,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,belebe mich,belebst dich,belebt sich,beleben uns,belebt euch,beleben sich,beleben sich
beleidigen,to insult,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,beleidige,beleidigst,beleidigt,beleidigen,beleidigt,beleidigen,beleidigen
bellen,to bark,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,belle,bellst,bellt,bellen,bellt,bellen,bellen
benutzen,to use (things),TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,benutze,benutzt,benutzt,benutzen,benutzt,benutzen,benutzen
bergen,to salvage/to rescue/to recover,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,berge,birgst,birgt,bergen,bergt,bergen,bergen
berichten,to report,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,berichte,berichtest,berichtet,berichten,berichtet,berichten,berichten
berufen,to appoint,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,berufe,berufst,beruft,berufen,beruft,berufen,berufen
beschließen,to decide,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,beschließe,beschließt,beschließt,beschließen,beschließt,beschließen,beschließen
beschuldigen,to accuse/to charge (with),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,beschuldige,beschuldigst,beschuldigt,beschuldigen,beschuldigt,beschuldigen,beschuldigen
beschmieren,to cover with smears,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,beschmiere,beschmierst,beschmiert,beschmieren,beschmiert,beschmieren,beschmieren
beschneiden,to cut back/to limit/to curtail,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,beschneide,beschneidest,beschneidet,beschneiden,beschneidet,beschneiden,beschneiden
beschreiben,to describe,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,beschreibe,beschreibst,beschreibt,beschreiben,beschreibt,beschreiben,beschreiben
beschwatzen,to talk someone into something,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,beschwatze,beschwatzt,beschwatzt,beschwatzen,beschwatzt,beschwatzen,beschwatzen
beschwören,to conjre/to strongly warn of,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,beschwöre,beschwörst,beschwört,beschwören,beschwört,beschwören,beschwören
besiegen,to defeat,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,besiege,besiegst,besiegt,besiegen,besiegt,besiegen,besiegen
besitzen,to possess/to own,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,besitze,besitzt,besitzt,besitzen,besitzt,besitzen,besitzen
sich besinnen,to recollet/to think better of,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,besinne mich,besinnst dich,besinnt sich,besinnen uns,besinnt euch,besinnen sich,besinnen sich
besprechen,to discuss (in detail),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,bespreche,besprichst,bespricht,besprechen,besprecht,besprechen,besprechen
besprühen,to cover in spray,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,besprühe,besprühst,besprüht,besprühen,besprüht,besprühen,besprühen
sich bessern,to get better,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,bessere mich,besserst dich,bessert sich,bessern uns,bessert euch,bessern sich,bessern sich
bestellen,"to order (goods, food, service)/to pass on greetings",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,bestelle,bestellst,bestellt,bestellen,bestellt,bestellen,bestellen
bestehen,to pass (an exam)/to exist/to consist of,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,bestehe,bestehst,besteht,bestehen,besteht,bestehen,bestehen
bestehlen,to steal (from a person),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,bestehle,bestiehlst,bestiehlt,bestehlen,bestehlt,bestehlen,bestehlen
bestreichen,to spread (something on something),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,bestreiche,bestreichst,bestreicht,bestreichen,bestreicht,bestreichen,bestreichen
bestreiten,to contest/to deny,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,bestreite,bestreitest,bestreitet,bestreiten,bestreitet,bestreiten,bestreiten
besuchen,to visit,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,besuche,besuchst,besucht,besuchen,besucht,besuchen,besuchen
beten,to pray,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,bete,betest,betet,beten,betet,beten,beten
beträufeln,to drizzle (culinary),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,beträufele,beträufelst,beträufelt,beträufeln,beträufelt,beträufeln,beträufeln
betreffen,to affect,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,betreffe,betriffst,betrifft,betreffen,betrefft,betreffen,betreffen
betrügen,to deceive/to cheat/to be unfaithful (to a partner),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,betrüge,betrügst,betrügt,betrügen,betrügt,betrügen,betrügen
bewachen,to guard/to watch over,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,bewache,bewachst,bewacht,bewachen,bewacht,bewachen,bewachen
bewegen,"to move (something, emotionally)/to induce",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,bewege,bewegst,bewegt,bewegen,bewegt,bewegen,bewegen
sich bewegen,to move oneself,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,bewege mich,bewegst dich,bewegt sich,bewegen uns,bewegt euch,bewegen sich,bewegen sich
beweinen,to mourn,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,beweine,beweinst,beweint,beweinen,beweint,beweinen,beweinen
beweisen,to prove,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,beweise,beweist,beweist,beweisen,beweist,beweisen,beweisen
bewerben,"to apply for (a job, a program)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,bewerbe,bewirbst,bewirbt,bewerben,bewerbt,bewerben,bewerben
bewohnen,to inhabit,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,bewohne,bewohnst,bewohnt,bewohnen,bewohnt,bewohnen,bewohnen
bezahlen,"to pay (someone, for something)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,bezahle,bezahlst,bezahlt,bezahlen,bezahlt,bezahlen,bezahlen
bezeichnen,to mark/to label,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,bezeichne,bezeichnest,bezeichnet,bezeichnen,bezeichnet,bezeichnen,bezeichnen
sich bezeichnen,to describe oneself,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,bezeichne mich,bezeichnest dich,bezeichnet sich,bezeichnen uns,bezeichnet euch,bezeichnen sich,bezeichnen sich
biegen,to bend (something),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,biege,biegst,biegt,biegen,biegt,biegen,biegen
sich biegen,to be bent/to curve,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,biege mich,biegst dich,biegt sich,biegen uns,biegt euch,biegen sich,biegen sich
bieten,"to offer/to bid/ to give (a performance, chance)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,biete,bietest,bietet,bieten,bietet,bieten,bieten
sich bieten,"to present itself (opportunity, chance)",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,biete mich,bietest dich,bietet sich,bieten uns,bietet euch,bieten sich,bieten sich
binden,to bind/to tie,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,binde,bindest,bindet,binden,bindet,binden,binden
bitten,to ask (for)/to request,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,bitte,bittest,bittet,bitten,bittet,bitten,bitten
blasen,to blow/to play a wind of brass instrument,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,blasé,bläst,bläst,blasten,blast,blasten,blasten
bleiben,to stay,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,bleibe,bleibst,bleibt,bleiben,bleibt,bleiben,bleiben
blicken,to look/to glance,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,blicke,blickst,blickt,blicken,blickt,blicken,blicken
blitzen,to flash/to lightning,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,blitze,blitzt,blitzt,blitzen,blitzt,blitzen,blitzen
blühen,to bloom/to flourish,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,blühe,blühst,blüht,blühen,blüht,blühen,blühen
bluten,"to bleed (literally, financially)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,blute,blutest,blutet,bluten,blutet,bluten,bluten
braten,to pan-fry/to grill,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,brate,brätst,brät,braten,bratet,braten,braten
brauchen,to need,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,brauche,brauchst,braucht,brauchen,braucht,brauchen,brauchen
brauen,to brew,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,braue,braust,braut,brauen,braut,brauen,brauen
brausen,"to roar (wind, sea, water or traffic)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,brause,braust,braust,brausen,braust,brausen,brausen
brechen,to break/to vomit (colloquially),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,breche,brichst,bricht,brechen,brecht,brechen,brechen
brennen,to burn,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,brenne,brennst,brennt,brennen,brennt,brennen,brennen
bringen,to bring,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,bringe,bringst,bringt,bringen,bringt,bringen,bringen
brüllen,to roar/to shout,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,brülle,brüllst,brüllt,brüllen,brüllt,brüllen,brüllen
sich brüsten,to brag,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,brüste mich,brüstest dich,brüstet sich,brüsten uns,brüstet euch,brüsten sich,brüsten sich
buchen,to book/to record (accounting),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,buche,buchst,bucht,buchen,bucht,buchen,buchen
sich bücken,to stoop,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,bücke mich,bückst dich,bückt sich,bücken uns,bückt euch,bücken sich,bücken sich
buhlen,to win favor/to woo,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,buhle,buhlst,buhlt,buhlen,buhlt,buhlen,buhlen
bürsten,to brush,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,bürste,bürstest,bürstet,bürsten,bürstet,bürsten,bürsten
dämpfen,to muffle/to steam (cooking),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,dämpfe,dämpfst,dämpft,dämpfen,dämpft,dämpfen,dämpfen
danken,to thank,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,danke,dankst,dankt,danken,dankt,danken,danken
darstellen,to depict/to portray,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,stelle dar,stellst dar,stellt dar,stellen dar,stellt dar,stellen dar,stellen dar
dasitzen,to sit there,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,sitze da,sitzt da,sitzt da,sitzen da,sitzt da,sitzen da,sitzen da
sich davonstehlen,to sneak off/to slip away,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,stehle mich davon,stiehlst dich davon,stiehlt sich davon,stehlen uns davon,stehlt euch davon,stehlen sich davon,stehlen sich davon
decken,to cover/to set (a table),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,decke,deckst,deckt,decken,deckt,decken,decken
denken,to think,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,denke,denkst,denkt,denken,denkt,denken,denken
dichten,to write poetry/to make up (a story),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,dichte,dichtest,dichtet,dichten,dichtet,dichten,dichten
dienen,to serve (a cause),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,diene,dienst,dient,dienen,dient,dienen,dienen
draufsitzen,to sit on top of,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,sitze drauf,sitzt drauf,sitzt drauf,sitzen drauf,sitzt drauf,sitzen drauf,sitzen drauf
dringen,to penetrate (physically)/to get through (to someone),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,dringe,dringst,dringt,dringen,dringt,dringen,dringen
drucken,to print,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,drucke,druckst,druckt,drucken,druckt,drucken,drucken
drücken,to push/to press/to hug,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,drücke,drückst,drückt,drücken,drückt,drücken,drücken
sich ducken,to duck/to avoid responsibility,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ducke mich,duckst dich,duckt sich,ducken uns,duckt euch,ducken sich,ducken sich
durchatmen,to catch your breath,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,atme durch,atmest durch,atmet durch,atmen durch,atmet durch,atmen durch,atmen durch
durchbeißen,to bite through,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,beiße durch,beißt durch,beißt durch,beißen durch,beißt durch,beißen durch,beißen durch
durchblicken,to understand,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,blicke durch,blickst durch,blickt durch,blicken durch,blickt durch,blicken durch,blicken durch
durchbraten,to cook through,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,brate durch,brätst durch,brät durch,braten durch,bratet durch,braten durch,braten durch
durchbrechen,"to break through (literally, figuratively)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,breche durch,brichst durch,bricht durch,brechen durch,brecht durch,brechen durch,brechen durch
durchdringen,to penetrate right through (physically)/to fully understand,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,durchdringe,durchdringst,durchdringt,durchdringen,durchdringt,durchdringen,durchdringen
sich durchfechten,to fight through a long struggle,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,fechte mich durch,fichtst dich durch,ficht sich durch,fechten uns durch,fechtet euch durch,fechten sich durch,fechten sich durch
durchführen,to carry out/to conduct,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,führe durch,führst durch,führt durch,führen durch,führt durch,führen durch,führen durch
durchmischen,to mix thoroughly,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,mische durch,mischst durch,mischt durch,mischen durch,mischt durch,mischen durch,mischen durch
durchmixen,to mix through completely,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,mixe durch,mixst durch,mixt durch,mixen durch,mixt durch,mixen durch,mixen durch
durchsagen,to announce over a loudspeaker,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,sage durch,sagst durch,sagt durch,sagen durch,sagt durch,sagen durch,sagen durch
durchschlafen,to sleep through (well),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,durchschlafe,durchschläfst,durchschläft,durchschlafen,durchschlaft,durchschlafen,durchschlafen
durchschlüpfen,to slip through,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,schlüpfe durch,schlüpfst durch,schlüpft durch,schlüpfen durch,schlüpft durch,schlüpfen durch,schlüpfen durch
durchschneiden,to cut through,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,schneide durch,schneidest durch,schneidet durch,schneiden durch,schneidet durch,schneiden durch,schneiden durch
durchsehen,to look through (physically or documents),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,sehe durch,siehst durch,sieht durch,sehen durch,seht durch,sehen durch,sehen durch
durchsetzen,to push something through/to enforce,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,durchsetze,durchsetzt,durchsetzt,durchsetzen,durchsetzt,durchsetzen,durchsetzen
sich durchsetzen,to assert oneself/to prevail,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,durchsetze mich,durchsetzt dich,durchsetzt sich,durchsetzen uns,durchsetzt euch,durchsetzen sich,durchsetzen sich
durchschütteln,to shake (something) thoroughly,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,durchschüttele,durchschüttelst,durchschüttelt,durchschütteln,durchschüttelt,durchschütteln,durchschütteln
durchspielen,to play through (completely),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,spiele durch,spielst durch,spielt durch,spielen durch,spielt durch,spielen durch,spielen durch
durchspülen,to rinse thoroughly/to flush through,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,durchspüle,durchspülst,durchspült,durchspülen,durchspült,durchspülen,durchspülen
durchstechen,to pierce through,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,durchsteche,durchstichst,durchsticht,durchstechen,durchstecht,durchstechen,durchstechen
durchstrecken,to fully straighten (body parts),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,strecke durch,streckst durch,streckt durch,strecken durch,streckt durch,strecken durch,strecken durch
durchstreichen,to cross through (text),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,streiche durch,streichst durch,streicht durch,streichen durch,streicht durch,streichen durch,streichen durch
durchsuchen,"to search through (bags, data, rooms)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,durchsuche,durchsuchst,durchsucht,durchsuchen,durchsucht,durchsuchen,durchsuchen
durchüben,to practice through (time duration),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,übe durch,übst durch,übt durch,üben durch,übt durch,üben durch,üben durch
durchwühlen,to rummage through,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,durchwühle,durchwühlst,durchwühlt,durchwühlen,durchwühlt,durchwühlen,durchwühlen
durchziehen,to see something through/to stick it out,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ziehe durch,ziehst durch,zieht durch,ziehen durch,zieht durch,ziehen durch,ziehen durch
duschen,to take a shower ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,dusche,duschst,duscht,duschen,duscht,duschen,duschen
sich duschen,to shower oneself,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,dusche mich,duschst dich,duschst sich,duschen uns,duscht euch,duschen sich,duschen sich
dürfen,to allow/to permit/may,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,darf,darfst,darft,dürfen,dürft,dürfen,dürfen
ehren,to honor/to esteem,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ehre,ehrst,ehrt,ehren,ehrt,ehren,ehren
einatmen,to inhale,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,atme ein,atmest ein,atmet ein,atmen ein,atmet ein,atmen ein,atmen ein
einbiegen,"to turn into (road, street)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,biege ein,biegst ein,biegt ein,biegen ein,biegt ein,biegen ein,biegen ein
einbinden,"to insert (into a binder)/to integrate (people, content)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,binde ein,bindest ein,bindet ein,binden ein,bindet ein,binden ein,binden ein
einbrechen,to break in,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,breche ein,brichst ein,bricht ein,brechen ein,brecht ein,brechen ein,brechen ein
sich einbrennen,"to burn in (image, memory)",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,brenne mich ein,brennst dich ein,brennt sich ein,brennen uns ein,brennt euch ein,brennen sich ein,brennen sich ein
eindämpfen,to boil down/to concentrate,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,dämpfe ein,dämpfst ein,dämpft ein,dämpfen ein,dämpft ein,dämpfen ein,dämpfen ein
eindecken,to set tables,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,decke ein,deckst ein,deckt ein,decken ein,deckt ein,decken ein,decken ein
